2013-01-01,306
2013-01-02,349
2013-01-03,362
2013-01-04,394
2013-01-05,392
2013-01-06,284
2013-01-07,310
2013-01-08,319
2013-01-09,362
2013-01-10,440
2013-01-11,399
2013-01-12,411
2013-01-13,344
2013-01-14,325
2013-01-15,392
2013-01-16,421
2013-01-17,354
2013-01-18,415
2013-01-19,433
2013-01-20,353
2013-01-21,361
2013-01-22,370
2013-01-23,346
2013-01-24,386
2013-01-25,401
2013-01-26,508
2013-01-27,337
2013-01-28,366
2013-01-29,361
2013-01-30,354
2013-01-31,382
2013-02-01,440
2013-02-02,606
2013-02-03,426
2013-02-04,352
2013-02-05,372
2013-02-06,411
2013-02-07,450
2013-02-08,366
2013-02-09,438
2013-02-10,458
2013-02-11,359
2013-02-12,383
2013-02-13,420
2013-02-14,422
2013-02-15,456
2013-02-16,494
2013-02-17,423
2013-02-18,419
2013-02-19,315
2013-02-20,363
2013-02-21,381
2013-02-22,450
2013-02-23,515
2013-02-24,361
2013-02-25,343
2013-02-26,396
2013-02-27,387
2013-02-28,403
2013-03-01,403
2013-03-02,475
2013-03-03,368
2013-03-04,365
2013-03-05,383
2013-03-06,384
2013-03-07,446
2013-03-08,448
2013-03-09,478
2013-03-10,395
2013-03-11,362
2013-03-12,380
2013-03-13,386
2013-03-14,398
2013-03-15,397
2013-03-16,437
2013-03-17,426
2013-03-18,339
2013-03-19,361
2013-03-20,378
2013-03-21,407
2013-03-22,419
2013-03-23,496
2013-03-24,389
2013-03-25,364
2013-03-26,346
2013-03-27,373
2013-03-28,389
2013-03-29,426
2013-03-30,390
2013-03-31,381
2013-04-01,327
2013-04-02,388
2013-04-03,365
2013-04-04,320
2013-04-05,397
2013-04-06,411
2013-04-07,352
2013-04-08,292
2013-04-09,358
2013-04-10,324
2013-04-11,369
2013-04-12,392
2013-04-13,392
2013-04-14,337
2013-04-15,315
2013-04-16,310
2013-04-17,370
2013-04-18,355
2013-04-19,350
2013-04-20,433
2013-04-21,350
2013-04-22,323
2013-04-23,354
2013-04-24,340
2013-04-25,355
2013-04-26,427
2013-04-27,354
2013-04-28,337
2013-04-29,355
2013-04-30,345
2013-05-01,294
2013-05-02,374
2013-05-03,370
2013-05-04,354
2013-05-05,314
2013-05-06,344
2013-05-07,331
2013-05-08,349
2013-05-09,413
2013-05-10,372
2013-05-11,388
2013-05-12,296
2013-05-13,266
2013-05-14,341
2013-05-15,368
2013-05-16,352
2013-05-17,332
2013-05-18,334
2013-05-19,328
2013-05-20,354
2013-05-21,280
2013-05-22,286
2013-05-23,251
2013-05-24,253
2013-05-25,283
2013-05-26,233
2013-05-27,253
2013-05-28,297
2013-05-29,273
2013-05-30,333
2013-05-31,334
2013-06-01,339
2013-06-02,308
2013-06-03,334
2013-06-04,335
2013-06-05,338
2013-06-06,310
2013-06-07,339
2013-06-08,328
2013-06-09,284
2013-06-10,314
2013-06-11,318
2013-06-12,344
2013-06-13,326
2013-06-14,297
2013-06-15,270
2013-06-16,276
2013-06-17,264
2013-06-18,275
2013-06-19,310
2013-06-20,346
2013-06-21,274
2013-06-22,345
2013-06-23,308
2013-06-24,312
2013-06-25,313
2013-06-26,407
2013-06-27,314
2013-06-28,291
2013-06-29,330
2013-06-30,284
2013-07-01,314
2013-07-02,316
2013-07-03,305
2013-07-04,254
2013-07-05,272
2013-07-06,335
2013-07-07,283
2013-07-08,293
2013-07-09,302
2013-07-10,345
2013-07-11,303
2013-07-12,324
2013-07-13,309
2013-07-14,305
2013-07-15,317
2013-07-16,304
2013-07-17,348
2013-07-18,365
2013-07-19,375
2013-07-20,380
2013-07-21,293
2013-07-22,332
2013-07-23,342
2013-07-24,331
2013-07-25,402
2013-07-26,347
2013-07-27,297
2013-07-28,312
2013-07-29,275
2013-07-30,313
2013-07-31,278
2013-08-01,229
2013-08-02,162
2013-08-03,130
2013-08-04,112
2013-08-05,297
2013-08-06,351
2013-08-07,329
2013-08-08,367
2013-08-09,334
2013-08-10,297
2013-08-11,166
2013-08-12,277
2013-08-13,336
2013-08-14,319
2013-08-15,353
2013-08-16,291
2013-08-17,344
